Mutant_ID,File_Path,Line_Number,Mutation_Operator,Original_Code,Mutated_Code,Test_Outcome,Analysis_Notes,Action_Taken,Final_Status
MUT-001,R/aref.R,28,ROR,"if(!is.numeric(dimension) || length(dimension) != 2)","if(!is.numeric(dimension) || length(dimension) == 2)",KILLED,"The mutation caused a condition that was supposed to pass to fail. Both test suites correctly caught this failure.","None. The tests performed as expected.",Completed
MUT-002,R/col2idx.R,27,AOR,"sapply(x, J('org.apache.poi.ss.util.CellReference')$convertColStringToIndex, USE.NAMES = FALSE) + 1","sapply(x, J('org.apache.poi.ss.util.CellReference')$convertColStringToIndex, USE.NAMES = FALSE) - 1",KILLED,"The mutation changed the arithmetic for index calculation, causing an off-by-two error. Both test suites have tests that correctly check for the exact index values and caught the error.","None. The tests performed as expected.",Completed
MUT-003,R/idx2cref.R,28,AOR,"as.integer(xx[1] - 1)","as.integer(xx[1] + 1)",KILLED,"The mutation changed the arithmetic for index calculation, causing an off-by-one error. Both test suites have tests that correctly check for the exact index values and caught the error.","None. The tests performed as expected.",Completed
MUT-004,R/loadWorkbook.R,23,LOR,"create = create","create = !create",KILLED,"The mutation inverted the 'create' flag, causing tests that rely on file creation to fail. Both suites caught this.", "None. The tests performed as expected.",Completed
MUT-005,R/workbook.saveWorkbook.R,38,STD,"xlcCall(object, 'save', path.expand(file), .recycle = FALSE)","# xlcCall(object, 'save', path.expand(file), .recycle = FALSE)",KILLED,"The mutation deleted the line that saves the workbook, causing tests that check for the saved file to fail. Both suites caught this.","None. The tests performed as expected.",Completed
MUT-006,R/workbook.readWorksheet.R,89,ROR,"if(length(dataFrame) == 1)","if(length(dataFrame) != 1)",KILLED,"The mutation caused the function to always return a list, which broke tests expecting a data.frame. Both suites caught this.","None. The tests performed as expected.",Completed
MUT-007,R/jTryCatch.R,28,LOR,"if(!is.jnull(e$jobj))","if(is.jnull(e$jobj))",KILLED_BY_TESTTHAT,"The mutation was detected by the testthat suite, which failed with a Java OutOfMemoryError. The RUnit suite did not detect the mutation. This suggests that the testthat suite has better coverage for this specific error condition.","Recommend investigating why the RUnit suite did not catch this error.",Completed
MUT-008,R/configurePOI.R,35,AOR,"zip$setMaxFileCount(rJava::.jlong(zip_max_files))","zip$setMaxFileCount(rJava::.jlong(0))",KILLED_BY_TESTTHAT,"The testthat suite failed with a ClassNotFoundException, while the RUnit suite passed. This is another case where testthat has better coverage.","Recommend investigating why the RUnit suite did not catch this error.",Completed
MUT-009,R/workbook.createSheet.R,28,LOR,"if(!is.character(name))","if(is.character(name))",KILLED,"The mutation inverted the logic for checking the sheet name, causing tests with valid sheet names to fail. Both suites caught this.","None. The tests performed as expected.",Completed
MUT-010,R/getColSubset.R,77,AOR,"subset = setdiff(seq_len(cargs$numcols), cargs$drop)","subset = setdiff(seq_len(cargs$numcols) - 1, cargs$drop)",UNDETECTED,"This off-by-one error in column indexing was not caught by either test suite. This indicates a gap in test coverage for column dropping functionality.","Recommend adding a new test case to check that the correct columns are dropped.",Completed
